RUN	studydatalake.AdvDevStudyDataLake	advdevstudydatalake	1600472976124	 	3.3.1
USER	AdvDevStudyDataLake	119	END	1600472984323	1600472985281
USER	AdvDevStudyDataLake	141	START	1600472985314	1600472985314
REQUEST	122		request_1	1600472984454	1600472985339	OK	 
USER	AdvDevStudyDataLake	122	END	1600472984453	1600472985339
USER	AdvDevStudyDataLake	142	START	1600472985365	1600472985365
USER	AdvDevStudyDataLake	143	START	1600472985403	1600472985403
REQUEST	123		request_1	1600472984504	1600472985438	OK	 
REQUEST	121		request_1	1600472984416	1600472985438	OK	 
USER	AdvDevStudyDataLake	123	END	1600472984503	1600472985439
USER	AdvDevStudyDataLake	121	END	1600472984415	1600472985439
USER	AdvDevStudyDataLake	144	START	1600472985454	1600472985454
REQUEST	124		request_1	1600472984546	1600472985478	OK	 
USER	AdvDevStudyDataLake	124	END	1600472984545	1600472985479
USER	AdvDevStudyDataLake	145	START	1600472985503	1600472985503
REQUEST	37		request_1	1600472980095	1600472985516	OK	 
USER	AdvDevStudyDataLake	37	END	1600472980094	1600472985518
REQUEST	33		request_1	1600472979867	1600472985536	OK	 
REQUEST	125		request_1	1600472984595	1600472985535	OK	 
USER	AdvDevStudyDataLake	33	END	1600472979866	1600472985537
USER	AdvDevStudyDataLake	125	END	1600472984595	1600472985537
USER	AdvDevStudyDataLake	146	START	1600472985545	1600472985545
USER	AdvDevStudyDataLake	147	START	1600472985594	1600472985594
REQUEST	128		request_1	1600472984727	1600472985607	OK	 
USER	AdvDevStudyDataLake	128	END	1600472984726	1600472985608
REQUEST	127		request_1	1600472984684	1600472985627	OK	 
REQUEST	126		request_1	1600472984637	1600472985627	OK	 
USER	AdvDevStudyDataLake	126	END	1600472984634	1600472985629
USER	AdvDevStudyDataLake	127	END	1600472984684	1600472985629
USER	AdvDevStudyDataLake	148	START	1600472985634	1600472985634
USER	AdvDevStudyDataLake	149	START	1600472985683	1600472985683
REQUEST	35		request_1	1600472979984	1600472985684	OK	 
USER	AdvDevStudyDataLake	35	END	1600472979983	1600472985686
USER	AdvDevStudyDataLake	150	START	1600472985723	1600472985723
REQUEST	129		request_1	1600472984775	1600472985738	OK	 
USER	AdvDevStudyDataLake	129	END	1600472984775	1600472985739
REQUEST	131		request_1	1600472984866	1600472985758	OK	 
USER	AdvDevStudyDataLake	131	END	1600472984865	1600472985759
REQUEST	130		request_1	1600472984825	1600472985771	OK	 
USER	AdvDevStudyDataLake	130	END	1600472984825	1600472985773
USER	AdvDevStudyDataLake	151	START	1600472985773	1600472985773
USER	AdvDevStudyDataLake	152	START	1600472985816	1600472985816
REQUEST	132		request_1	1600472984904	1600472985842	OK	 
REQUEST	38		request_1	1600472980156	1600472985842	OK	 
USER	AdvDevStudyDataLake	132	END	1600472984903	1600472985843
USER	AdvDevStudyDataLake	38	END	1600472980155	1600472985843
USER	AdvDevStudyDataLake	153	START	1600472985863	1600472985863
REQUEST	40		request_1	1600472980274	1600472985870	OK	 
USER	AdvDevStudyDataLake	40	END	1600472980273	1600472985871
REQUEST	41		request_1	1600472980335	1600472985889	OK	 
USER	AdvDevStudyDataLake	41	END	1600472980334	1600472985890
USER	AdvDevStudyDataLake	154	START	1600472985905	1600472985905
REQUEST	135		request_1	1600472985045	1600472985920	OK	 
USER	AdvDevStudyDataLake	135	END	1600472985044	1600472985922
REQUEST	133		request_1	1600472984955	1600472985927	OK	 
USER	AdvDevStudyDataLake	133	END	1600472984954	1600472985928
